,CM_ID,Playlist_Name,Total_Followers,Editorial,Monthly_Listeners
0,1645080,Today's Top Hits,25814307,True,3481817
1,1709450,Global Top 50,14983433,True,842384
2,848051,RapCaviar,12654071,True,1165531
3,1645077,¡Viva Latino!,10557236,True,892763
4,1015841,Baila Reggaeton,9937372,True,710159
5,1644599,Songs to Sing in the Car,9149054,True,176408
6,1644626,All Out 00s,8062150,True,169608
7,1644653,Rock Classics,7436524,True,631384
8,1644661,Beast Mode,6979506,True,200953
9,1645060,All Out 80s,6924058,True,401119
10,1645088,Get Turnt,5856804,True,310530
11,977170,Peaceful Piano,5764360,True,378504
12,1645089,Hot Country,5707449,True,690850
13,983721,mint,5579778,True,93791
14,1644741,Chill Hits,5558476,True,344063
15,1644605,All Out 90s,5530471,True,159557
16,1644742,Songs to Sing in the Shower,5446114,True,175757
17,1645047,Are & Be,5186857,True,347327
18,1645076,Happy Hits!,5177180,True,432527
19,1776040,Esquenta Sertanejo,5018160,True,1220235
20,977243,Hit Rewind,4977253,True,199872
21,1776041,Top Brasil,4900109,True,778657
22,1644654,Motivation Mix,4721489,True,174034
23,983482,I Love My '90s Hip-Hop,4693975,True,152734
24,1644658,Mood Booster,4610532,True,1412009
25,1645048,Rock This,4557631,True,67644
26,1208881,Have a Great Day!,4555983,True,203221
27,1776440,This Is Ed Sheeran,4444663,True,361363
28,1746663,All Out 10s,4379021,True,160398
29,1644591,Mega Hit Mix,4309764,True,458253
30,1644590,Teen Party,4022347,True,53118
31,984494,Dance Party,3980183,True,253368
32,1644598,Soft Pop Hits,3978082,True,163701
33,1644764,Verano Forever,3896346,True,118599
34,977215,Sleep,3758759,True,306041
35,1644652,Your Favorite Coffeehouse,3745810,True,160135
36,1644680,Relax & Unwind,3719964,True,79856
37,1776017,Top Hits Philippines,3710090,True,540577
38,1720412,90s Rock Anthems,3705294,True,319749
39,1644639,Rock en Español,3686791,True,150399
40,1645898,New Music Friday,3660283,True,80546
41,1644765,Baladas Románticas,3638989,True,138642
42,983121,Workout,3589242,True,198821
43,1644679,Acoustic Covers,3568901,True,177389
44,958422,Éxitos México,3508113,True,463010
45,1644199,All Out 70s,3506002,True,148491
46,1776039,Funk Hits,3434115,True,1064298
47,983111,Brain Food,3410636,True,44641
48,1676802,Acoustic Hits: Oldies but Goodies,3336565,True,175831
49,984517,Love Pop,3270327,True,85467
50,1710380,United States Top 50,3239000,True,581329
51,1644739,Deep Focus,3229228,True,168049
52,1711074,This Is Queen,3158403,True,1337506
53,1644667,Pop Remix,3129936,True,145108
54,1644663,Power Workout,3127519,True,117905
55,1634625,Classic Road Trip Songs,3077593,True,239988
56,1644644,Confidence Boost,3062974,True,225877
57,1775976,Pop Up,3021290,True,65940
58,1720381,00s Rock Anthems,2990819,True,155400
59,1816590,Disney Hits,2950513,True,385417
60,983109,Chill Tracks,2947010,True,127773
61,1634899,Dance Hits,2917390,True,114792
62,1126222,This Is BTS,2901914,True,317263
63,1644504,Broken Heart,2893958,True,57725
64,1644662,Feelin' Good,2890024,True,80231
65,1644600,This Is Drake,2876654,True,292662
66,983116,Cardio,2847718,True,46518
67,1736631,Lo-Fi Beats,2839254,True,284721
68,978494,I Love My '00s R&B,2831129,True,311321
69,1634802,Throwback Party,2819510,True,50076
70,1747437,Christmas Hits,2779860,True,6882
71,1644695,Los Que Mandan: Top 40,2765326,True,62090
72,977158,"Young, Wild & Free",2631387,True,54025
73,972163,Hot Hits UK,2622435,True,299766
74,1336801,Guilty Pleasures,2600284,True,91957
75,1644207,This Is Bruno Mars,2533347,True,235756
76,1748351,This Is Billie Eilish,2499771,True,818690
77,1634935,Life Sucks,2498205,True,56802
78,1336823,90s Love Songs,2467675,True,181943
79,1314,80s Smash Hits,2463855,False,76240
80,1644728,Run Wild,2447595,True,14170
81,983774,Good Vibes,2435464,True,76457
82,1634718,Legendary,2430828,True,77027
83,1644738,Afternoon Acoustic,2430179,True,31994
84,1643772,K-Pop Daebak,2411829,True,274390
85,1699927,This Is Bad Bunny,2396414,True,285401
86,1644611,Most Necessary,2390936,True,64887
87,1645059,Soft Rock,2270932,True,157962
88,1635434,Canciones del Recuerdo,2268493,True,109418
89,1644230,Top Gaming Tracks,2243520,True,138909
90,1644208,This Is The Beatles,2203640,True,917865
91,1646795,This Is Ariana Grande,2199037,True,330838
92,978402,I Love My '90s R&B,2192354,True,140188
93,1635107,Chillin' on a Dirt Road,2170067,True,164654
94,1644596,Gold School,2165862,True,36160
95,19691,Guardians of the Galaxy – The Complete Mixtape,2148067,False,122569
96,1644583,Coffee Table Jazz,2145067,True,103715
97,1644582,The Most Beautiful Songs in the World,2122993,True,32893
98,1336790,Éxitos España,2117318,True,416145
99,987168,It's a Hit!,2109453,True,98354
